"Name","MagicSquareStageId","MagicSquareId","Number","StageId","StageInfo","StageRatio_1","StageRatio_2","StageRatio_3","Color","PositionLocation"
"201300821","201300821","108","21","201300821","1122021","0","2","0","47CF4D","(1108121,1108221,1108321,1108421)"
"201300822","201300822","108","17","201300822","1122022","0","2","0","47CF4D","(1108122,1108222,1108322,1108422)"
"201300823","201300823","108","16","201300823","1122023","0","2","0","47CF4D","(1108123,1108223,1108323,1108423)"
"201300824","201300824","108","15","201300824","1122024","0","2","0","47CF4D","(1108124,1108224,1108324,1108424)"
"201300825","201300825","108","23","201300825","1122025","0","1","0","CF2024","(1108125,1108225,1108325,1108425)"
"201300826","201300826","108","0","201300826","1122026","0","0","0","0","(1108126,1108226,1108326,1108426)"
"201300827","201300827","108","24","201300827","1122027","0","1","0","CF2024","(1108127,1108227,1108327,1108427)"
"201300828","201300828","108","25","201300828","1122028","0","1","0","CF2024","(1108128,1108228,1108328,1108428)"
"201300829","201300829","108","26","201300829","1122029","0","1","0","CF2024","(1108129,1108229,1108329,1108429)"
"201300830","201300830","108","27","201300830","1122030","0","1","0","CF2024","(1108130,1108230,1108330,1108430)"
"201300831","201300831","108","0","201300831","1122031","0","0","0","0","(1108131,1108231,1108331,1108431)"
"201300832","201300832","108","22","201300832","1122032","0","1","0","CF2024","(1108132,1108232,1108332,1108432)"
"201300833","201300833","108","5","201300833","1122033","0","2","0","47CF4D","(1108133,1108233,1108333,1108433)"
"201300834","201300834","108","6","201300834","1122033","0","2","0","47CF4D","(1108134,1108234,1108334,1108434)"
"201300835","201300835","108","10","201300835","1122034","0","2","0","47CF4D","(1108135,1108235,1108335,1108435)"
"201300836","201300836","108","11","201300836","1122034","0","2","0","47CF4D","(1108136,1108236,1108336,1108436)"
"201300901","201300901","109","1","201300901","1122001","1","1","0","CF2024","(1109101,1109201,1109301,1109401)"
"201300902","201300902","109","12","201300902","1122002","0","2","0","47CF4D","(1109102,1109202,1109302,1109402)"
"201300903","201300903","109","13","201300903","1122003","0","2","0","47CF4D","(1109103,1109203,1109303,1109403)"
"201300904","201300904","109","14","201300904","1122004","0","2","0","47CF4D","(1109104,1109204,1109304,1109404)"
"201300905","201300905","109","18","201300905","1122005","0","2","0","47CF4D","(1109105,1109205,1109305,1109405)"
"201300906","201300906","109","0","201300906","1122006","0","0","0","47CF4D","(1109106,1109206,1109306,1109406)"
"201300907","201300907","109","0","201300907","1122007","0","0","0","47CF4D","(1109107,1109207,1109307,1109407)"
"201300908","201300908","109","2","201300908","1122008","0","2","0","47CF4D","(1109108,1109208,1109308,1109408)"
"201300909","201300909","109","3","201300909","1122009","0","2","0","47CF4D","(1109109,1109209,1109309,1109409)"
"201300910","201300910","109","4","201300910","1122010","0","2","0","47CF4D","(1109110,1109210,1109310,1109410)"
"201300911","201300911","109","7","201300911","1122011","0","2","0","47CF4D","(1109111,1109211,1109311,1109411)"
"201300912","201300912","109","8","201300912","1122012","0","2","0","47CF4D","(1109112,1109212,1109312,1109412)"
"201300913","201300913","109","9","201300913","1122013","0","2","0","47CF4D","(1109113,1109213,1109313,1109413)"
"201300914","201300914","109","0","201300914","1122014","0","0","0","0","(1109114,1109214,1109314,1109414)"
"201300915","201300915","109","0","201300915","1122015","0","0","0","0","(1109115,1109215,1109315,1109415)"
"201300916","201300916","109","19","201300916","1122016","0","2","0","47CF4D","(1109116,1109216,1109316,1109416)"
"201300917","201300917","109","0","201300917","1122017","0","0","0","0","(1109117,1109217,1109317,1109417)"
"201300918","201300918","109","0","201300918","1122018","0","0","0","0","(1109118,1109218,1109318,1109418)"
"201300919","201300919","109","20","201300919","1122019","0","2","0","47CF4D","(1109119,1109219,1109319,1109419)"
"201300920","201300920","109","0","201300920","1122020","0","0","0","0","(1109120,1109220,1109320,1109420)"
"201300921","201300921","109","21","201300921","1122021","0","2","0","47CF4D","(1109121,1109221,1109321,1109421)"
"201300922","201300922","109","17","201300922","1122022","0","2","0","47CF4D","(1109122,1109222,1109322,1109422)"
"201300923","201300923","109","16","201300923","1122023","0","2","0","47CF4D","(1109123,1109223,1109323,1109423)"
"201300924","201300924","109","15","201300924","1122024","0","2","0","47CF4D","(1109124,1109224,1109324,1109424)"
"201300925","201300925","109","23","201300925","1122025","0","1","0","CF2024","(1109125,1109225,1109325,1109425)"
"201300926","201300926","109","0","201300926","1122026","0","0","0","0","(1109126,1109226,1109326,1109426)"
"201300927","201300927","109","24","201300927","1122027","0","1","0","CF2024","(1109127,1109227,1109327,1109427)"
"201300928","201300928","109","25","201300928","1122028","0","1","0","CF2024","(1109128,1109228,1109328,1109428)"
"201300929","201300929","109","26","201300929","1122029","0","1","0","CF2024","(1109129,1109229,1109329,1109429)"
"201300930","201300930","109","27","201300930","1122030","0","1","0","CF2024","(1109130,1109230,1109330,1109430)"
"201300931","201300931","109","0","201300931","1122031","0","0","0","0","(1109131,1109231,1109331,1109431)"
"201300932","201300932","109","22","201300932","1122032","0","1","0","CF2024","(1109132,1109232,1109332,1109432)"
"201300933","201300933","109","5","201300933","1122033","0","2","0","47CF4D","(1109133,1109233,1109333,1109433)"
"201300934","201300934","109","6","201300934","1122033","0","2","0","47CF4D","(1109134,1109234,1109334,1109434)"
"201300935","201300935","109","10","201300935","1122034","0","2","0","47CF4D","(1109135,1109235,1109335,1109435)"
"201300936","201300936","109","11","201300936","1122034","0","2","0","47CF4D","(1109136,1109236,1109336,1109436)"
"201301001","201301001","110","1","201301001","1122001","1","1","0","CF2024","(1110101,1110201,1110301,1110401)"
"201301002","201301002","110","12","201301002","1122002","0","2","0","47CF4D","(1110102,1110202,1110302,1110402)"
"201301003","201301003","110","13","201301003","1122003","0","2","0","47CF4D","(1110103,1110203,1110303,1110403)"
"201301004","201301004","110","14","201301004","1122004","0","2","0","47CF4D","(1110104,1110204,1110304,1110404)"
"201301005","201301005","110","18","201301005","1122005","0","2","0","47CF4D","(1110105,1110205,1110305,1110405)"
"201301006","201301006","110","2","201301006","1122008","0","2","0","47CF4D","(1110106,1110206,1110306,1110406)"
"201301007","201301007","110","3","201301007","1122009","0","2","0","47CF4D","(1110107,1110207,1110307,1110407)"
"201301008","201301008","110","4","201301008","1122010","0","2","0","47CF4D","(1110108,1110208,1110308,1110408)"
"201301009","201301009","110","7","201301009","1122011","0","2","0","47CF4D","(1110109,1110209,1110309,1110409)"
"201301010","201301010","110","8","201301010","1122012","0","2","0","47CF4D","(1110110,1110210,1110310,1110410)"
"201301011","201301011","110","9","201301011","1122013","0","2","0","47CF4D","(1110111,1110211,1110311,1110411)"
"201301012","201301012","110","19","201301012","1122016","0","2","0","47CF4D","(1110112,1110212,1110312,1110412)"
"201301013","201301013","110","20","201301013","1122019","0","2","0","47CF4D","(1110113,1110213,1110313,1110413)"
"201301014","201301014","110","21","201301014","1122021","0","2","0","47CF4D","(1110114,1110214,1110314,1110414)"
"201301015","201301015","110","17","201301015","1122022","0","2","0","47CF4D","(1110115,1110215,1110315,1110415)"
"201301016","201301016","110","16","201301016","1122023","0","2","0","47CF4D","(1110116,1110216,1110316,1110416)"
"201301017","201301017","110","15","201301017","1122024","0","2","0","47CF4D","(1110117,1110217,1110317,1110417)"
"201301018","201301018","110","23","201301018","1122025","0","1","0","CF2024","(1110118,1110218,1110318,1110418)"
"201301019","201301019","110","24","201301019","1122027","0","1","0","CF2024","(1110119,1110219,1110319,1110419)"
"201301020","201301020","110","25","201301020","1122028","0","1","0","CF2024","(1110120,1110220,1110320,1110420)"
"201301021","201301021","110","26","201301021","1122029","0","1","0","CF2024","(1110121,1110221,1110321,1110421)"
"201301022","201301022","110","27","201301022","1122030","0","1","0","CF2024","(1110122,1110222,1110322,1110422)"
"201301023","201301023","110","22","201301023","1122032","0","1","0","CF2024","(1110123,1110223,1110323,1110423)"
"201301024","201301024","110","5","201301024","1122033","0","2","0","47CF4D","(1110124,1110224,1110324,1110424)"
"201301025","201301025","110","6","201301025","1122033","0","2","0","47CF4D","(1110125,1110225,1110325,1110425)"
"201301026","201301026","110","10","201301026","1122034","0","2","0","47CF4D","(1110126,1110226,1110326,1110426)"
"201301027","201301027","110","11","201301027","1122034","0","2","0","47CF4D","(1110127,1110227,1110327,1110427)"
