"Name","OptionId","AttributeType","OptionGradeRate01","OptionGradeRate02","OptionGradeRate03","OptionGradeRate04","OptionGradeRate05","OptionGradeRate06","OptionGradeRate07","OptionGradeRate08","OptionGradeRate09","OptionGradeRate10","OptionGradeValue01","OptionGradeValue02","OptionGradeValue03","OptionGradeValue04","OptionGradeValue05","OptionGradeValue06","OptionGradeValue07","OptionGradeValue08","OptionGradeValue09","OptionGradeValue10","OptionGradeValue11","OptionGradeValue12","OptionGradeValue13","OptionGradeValue14","OptionGradeValue15","OptionGradeValue16","OptionGradeValue17","OptionGradeValue18","OptionGradeValue19","OptionGradeValue20","OptionGradeValue21","OptionGradeValue22","OptionGradeValue23","OptionGradeValue24","OptionGradeValue25","OptionGradeValue26","OptionGradeValue27","OptionGradeValue28","OptionGradeValue29","OptionGradeValue30","OptionGradeValue31","OptionGradeValue32","OptionGradeValue33","OptionGradeValue34","OptionGradeValue35","OptionGradeValue36","OptionGradeValue37","OptionGradeValue38","OptionGradeValue39","OptionGradeValue40","OptionGradeValue41","OptionGradeValue42","OptionGradeValue43","OptionGradeValue44","OptionGradeValue45","OptionGradeValue46","OptionGradeValue47","OptionGradeValue48","OptionGradeValue49","OptionGradeValue50","AttributeGrade"
"1421","1421","50","0","3350","3350","1200","1200","400","400","100","0","0","23","0","0","0","0","23","23","23","23","23","23","23","23","23","23","33","33","33","33","33","33","33","33","33","33","68","68","68","68","68","68","68","68","68","68","135","135","135","135","135","135","135","135","135","135","135","135","135","135","181","0"
"1422","1422","51","0","3350","3350","1200","1200","400","400","100","0","0","23","0","0","0","0","23","23","23","23","23","23","23","23","23","23","33","33","33","33","33","33","33","33","33","33","68","68","68","68","68","68","68","68","68","68","135","135","135","135","135","135","135","135","135","135","135","135","135","135","181","0"
"1423","1423","52","0","3350","3350","1200","1200","400","400","100","0","0","23","0","0","0","0","23","23","23","23","23","23","23","23","23","23","33","33","33","33","33","33","33","33","33","33","68","68","68","68","68","68","68","68","68","68","135","135","135","135","135","135","135","135","135","135","135","135","135","135","181","0"
"1424","1424","53","0","3350","3350","1200","1200","400","400","100","0","0","23","0","0","0","0","23","23","23","23","23","23","23","23","23","23","33","33","33","33","33","33","33","33","33","33","68","68","68","68","68","68","68","68","68","68","135","135","135","135","135","135","135","135","135","135","135","135","135","135","181","0"
"1425","1425","119","0","3350","3350","1200","1200","400","400","100","0","0","23","0","0","0","0","23","23","23","23","23","23","23","23","23","23","33","33","33","33","33","33","33","33","33","33","68","68","68","68","68","68","68","68","68","68","135","135","135","135","135","135","135","135","135","135","135","135","135","135","181","0"
"1426","1426","120","0","3350","3350","1200","1200","400","400","100","0","0","23","0","0","0","0","23","23","23","23","23","23","23","23","23","23","33","33","33","33","33","33","33","33","33","33","68","68","68","68","68","68","68","68","68","68","135","135","135","135","135","135","135","135","135","135","135","135","135","135","181","0"
"1501","1501","30","0","3350","3350","1200","1200","400","400","100","0","0","8","0","0","0","0","8","8","8","8","8","8","8","8","8","8","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","48","48","48","48","48","48","48","48","48","48","48","48","48","48","60","0"
"1502","1502","31","0","3350","3350","1200","1200","400","400","100","0","0","8","0","0","0","0","8","8","8","8","8","8","8","8","8","8","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","48","48","48","48","48","48","48","48","48","48","48","48","48","48","60","0"
"1503","1503","32","0","3350","3350","1200","1200","400","400","100","0","0","24","0","0","0","0","24","24","24","24","24","24","24","24","24","24","36","36","36","36","36","36","36","36","36","36","72","72","72","72","72","72","72","72","72","72","144","144","144","144","144","144","144","144","144","144","144","144","144","144","180","0"
"1504","1504","33","0","3350","3350","1200","1200","400","400","100","0","0","24","0","0","0","0","24","24","24","24","24","24","24","24","24","24","36","36","36","36","36","36","36","36","36","36","72","72","72","72","72","72","72","72","72","72","144","144","144","144","144","144","144","144","144","144","144","144","144","144","180","0"
"1505","1505","34","0","3350","3350","1200","1200","400","400","100","0","0","32","0","0","0","0","32","32","32","32","32","32","32","32","32","32","48","48","48","48","48","48","48","48","48","48","96","96","96","96","96","96","96","96","96","96","192","192","192","192","192","192","192","192","192","192","192","192","192","192","240","0"
"1506","1506","35","0","3350","3350","1200","1200","400","400","100","0","0","32","0","0","0","0","32","32","32","32","32","32","32","32","32","32","48","48","48","48","48","48","48","48","48","48","96","96","96","96","96","96","96","96","96","96","192","192","192","192","192","192","192","192","192","192","192","192","192","192","240","0"
"1507","1507","82","0","3350","3350","1200","1200","400","400","100","0","0","600","0","0","0","0","600","600","600","600","600","600","600","600","600","600","1020","1020","1020","1020","1020","1020","1020","1020","1020","1020","1800","1800","1800","1800","1800","1800","1800","1800","1800","1800","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","0"
"1509","1509","38","0","3350","3350","1200","1200","400","400","100","0","0","8","0","0","0","0","8","8","8","8","8","8","8","8","8","8","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","48","48","48","48","48","48","48","48","48","48","48","48","48","48","60","0"
"1510","1510","39","0","3350","3350","1200","1200","400","400","100","0","0","8","0","0","0","0","8","8","8","8","8","8","8","8","8","8","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","48","48","48","48","48","48","48","48","48","48","48","48","48","48","60","0"
"1511","1511","40","0","3350","3350","1200","1200","400","400","100","0","0","10","0","0","0","0","10","10","10","10","10","10","10","10","10","10","14","14","14","14","14","14","14","14","14","14","30","30","30","30","30","30","30","30","30","30","60","60","60","60","60","60","60","60","60","60","60","60","60","60","75","0"
"1512","1512","41","0","3350","3350","1200","1200","400","400","100","0","0","12","0","0","0","0","12","12","12","12","12","12","12","12","12","12","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","72","72","72","72","72","72","72","72","72","72","72","72","72","72","90","0"
"1513","1513","42","0","3350","3350","1200","1200","400","400","100","0","0","10","0","0","0","0","10","10","10","10","10","10","10","10","10","10","14","14","14","14","14","14","14","14","14","14","30","30","30","30","30","30","30","30","30","30","60","60","60","60","60","60","60","60","60","60","60","60","60","60","75","0"
"1514","1514","43","0","3350","3350","1200","1200","400","400","100","0","0","12","0","0","0","0","12","12","12","12","12","12","12","12","12","12","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","72","72","72","72","72","72","72","72","72","72","72","72","72","72","90","0"
"1515","1515","44","0","3350","3350","1200","1200","400","400","100","0","0","10","0","0","0","0","10","10","10","10","10","10","10","10","10","10","14","14","14","14","14","14","14","14","14","14","30","30","30","30","30","30","30","30","30","30","60","60","60","60","60","60","60","60","60","60","60","60","60","60","75","0"
"1516","1516","45","0","3350","3350","1200","1200","400","400","100","0","0","10","0","0","0","0","10","10","10","10","10","10","10","10","10","10","14","14","14","14","14","14","14","14","14","14","30","30","30","30","30","30","30","30","30","30","60","60","60","60","60","60","60","60","60","60","60","60","60","60","75","0"
"1517","1517","46","0","3350","3350","1200","1200","400","400","100","0","0","6","0","0","0","0","6","6","6","6","6","6","6","6","6","6","8","8","8","8","8","8","8","8","8","8","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","36","36","36","36","45","0"
"1518","1518","47","0","3350","3350","1200","1200","400","400","100","0","0","6","0","0","0","0","6","6","6","6","6","6","6","6","6","6","8","8","8","8","8","8","8","8","8","8","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","36","36","36","36","45","0"
"1519","1519","48","0","3350","3350","1200","1200","400","400","100","0","0","30","0","0","0","0","30","30","30","30","30","30","30","30","30","30","44","44","44","44","44","44","44","44","44","44","90","90","90","90","90","90","90","90","90","90","180","180","180","180","180","180","180","180","180","180","180","180","180","180","225","0"
"1520","1520","49","0","3350","3350","1200","1200","400","400","100","0","0","30","0","0","0","0","30","30","30","30","30","30","30","30","30","30","44","44","44","44","44","44","44","44","44","44","90","90","90","90","90","90","90","90","90","90","180","180","180","180","180","180","180","180","180","180","180","180","180","180","225","0"
"1521","1521","50","0","3350","3350","1200","1200","400","400","100","0","0","30","0","0","0","0","30","30","30","30","30","30","30","30","30","30","44","44","44","44","44","44","44","44","44","44","90","90","90","90","90","90","90","90","90","90","180","180","180","180","180","180","180","180","180","180","180","180","180","180","225","0"
"1522","1522","51","0","3350","3350","1200","1200","400","400","100","0","0","30","0","0","0","0","30","30","30","30","30","30","30","30","30","30","44","44","44","44","44","44","44","44","44","44","90","90","90","90","90","90","90","90","90","90","180","180","180","180","180","180","180","180","180","180","180","180","180","180","225","0"
"1523","1523","52","0","3350","3350","1200","1200","400","400","100","0","0","30","0","0","0","0","30","30","30","30","30","30","30","30","30","30","44","44","44","44","44","44","44","44","44","44","90","90","90","90","90","90","90","90","90","90","180","180","180","180","180","180","180","180","180","180","180","180","180","180","225","0"
"1524","1524","53","0","3350","3350","1200","1200","400","400","100","0","0","30","0","0","0","0","30","30","30","30","30","30","30","30","30","30","44","44","44","44","44","44","44","44","44","44","90","90","90","90","90","90","90","90","90","90","180","180","180","180","180","180","180","180","180","180","180","180","180","180","225","0"
"1525","1525","119","0","3350","3350","1200","1200","400","400","100","0","0","30","0","0","0","0","30","30","30","30","30","30","30","30","30","30","44","44","44","44","44","44","44","44","44","44","90","90","90","90","90","90","90","90","90","90","180","180","180","180","180","180","180","180","180","180","180","180","180","180","225","0"
"1526","1526","120","0","3350","3350","1200","1200","400","400","100","0","0","30","0","0","0","0","30","30","30","30","30","30","30","30","30","30","44","44","44","44","44","44","44","44","44","44","90","90","90","90","90","90","90","90","90","90","180","180","180","180","180","180","180","180","180","180","180","180","180","180","225","0"
"1601","1601","30","0","3350","3350","1200","1200","400","400","100","0","0","10","0","0","0","0","10","10","10","10","10","10","10","10","10","10","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","60","60","60","60","60","60","60","60","60","60","60","60","60","60","72","0"
"1602","1602","31","0","3350","3350","1200","1200","400","400","100","0","0","10","0","0","0","0","10","10","10","10","10","10","10","10","10","10","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","60","60","60","60","60","60","60","60","60","60","60","60","60","60","72","0"
"1603","1603","32","0","3350","3350","1200","1200","400","400","100","0","0","30","0","0","0","0","30","30","30","30","30","30","30","30","30","30","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","180","180","180","180","180","180","180","180","180","180","180","180","180","180","216","0"
"1604","1604","33","0","3350","3350","1200","1200","400","400","100","0","0","30","0","0","0","0","30","30","30","30","30","30","30","30","30","30","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","180","180","180","180","180","180","180","180","180","180","180","180","180","180","216","0"
"1605","1605","34","0","3350","3350","1200","1200","400","400","100","0","0","40","0","0","0","0","40","40","40","40","40","40","40","40","40","40","60","60","60","60","60","60","60","60","60","60","120","120","120","120","120","120","120","120","120","120","240","240","240","240","240","240","240","240","240","240","240","240","240","240","288","0"
"1606","1606","35","0","3350","3350","1200","1200","400","400","100","0","0","40","0","0","0","0","40","40","40","40","40","40","40","40","40","40","60","60","60","60","60","60","60","60","60","60","120","120","120","120","120","120","120","120","120","120","240","240","240","240","240","240","240","240","240","240","240","240","240","240","288","0"
"1607","1607","82","0","3350","3350","1200","1200","400","400","100","0","0","750","0","0","0","0","750","750","750","750","750","750","750","750","750","750","1275","1275","1275","1275","1275","1275","1275","1275","1275","1275","2250","2250","2250","2250","2250","2250","2250","2250","2250","2250","3750","3750","3750","3750","3750","3750","3750","3750","3750","3750","3750","3750","3750","3750","3750","0"
"1609","1609","38","0","3350","3350","1200","1200","400","400","100","0","0","10","0","0","0","0","10","10","10","10","10","10","10","10","10","10","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","60","60","60","60","60","60","60","60","60","60","60","60","60","60","72","0"
"1610","1610","39","0","3350","3350","1200","1200","400","400","100","0","0","10","0","0","0","0","10","10","10","10","10","10","10","10","10","10","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","60","60","60","60","60","60","60","60","60","60","60","60","60","60","72","0"
"1611","1611","40","0","3350","3350","1200","1200","400","400","100","0","0","13","0","0","0","0","13","13","13","13","13","13","13","13","13","13","18","18","18","18","18","18","18","18","18","18","38","38","38","38","38","38","38","38","38","38","75","75","75","75","75","75","75","75","75","75","75","75","75","75","91","0"
"1612","1612","41","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","23","23","23","23","23","23","23","23","23","23","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","108","0"
"1613","1613","42","0","3350","3350","1200","1200","400","400","100","0","0","13","0","0","0","0","13","13","13","13","13","13","13","13","13","13","18","18","18","18","18","18","18","18","18","18","38","38","38","38","38","38","38","38","38","38","75","75","75","75","75","75","75","75","75","75","75","75","75","75","91","0"
"1614","1614","43","0","3350","3350","1200","1200","400","400","100","0","0","15","0","0","0","0","15","15","15","15","15","15","15","15","15","15","23","23","23","23","23","23","23","23","23","23","45","45","45","45","45","45","45","45","45","45","90","90","90","90","90","90","90","90","90","90","90","90","90","90","108","0"
"1615","1615","44","0","3350","3350","1200","1200","400","400","100","0","0","13","0","0","0","0","13","13","13","13","13","13","13","13","13","13","18","18","18","18","18","18","18","18","18","18","38","38","38","38","38","38","38","38","38","38","75","75","75","75","75","75","75","75","75","75","75","75","75","75","91","0"
"1616","1616","45","0","3350","3350","1200","1200","400","400","100","0","0","13","0","0","0","0","13","13","13","13","13","13","13","13","13","13","18","18","18","18","18","18","18","18","18","18","38","38","38","38","38","38","38","38","38","38","75","75","75","75","75","75","75","75","75","75","75","75","75","75","91","0"
"1617","1617","46","0","3350","3350","1200","1200","400","400","100","0","0","8","0","0","0","0","8","8","8","8","8","8","8","8","8","8","10","10","10","10","10","10","10","10","10","10","23","23","23","23","23","23","23","23","23","23","45","45","45","45","45","45","45","45","45","45","45","45","45","45","55","0"
"1618","1618","47","0","3350","3350","1200","1200","400","400","100","0","0","8","0","0","0","0","8","8","8","8","8","8","8","8","8","8","10","10","10","10","10","10","10","10","10","10","23","23","23","23","23","23","23","23","23","23","45","45","45","45","45","45","45","45","45","45","45","45","45","45","55","0"
"1619","1619","48","0","3350","3350","1200","1200","400","400","100","0","0","38","0","0","0","0","38","38","38","38","38","38","38","38","38","38","55","55","55","55","55","55","55","55","55","55","113","113","113","113","113","113","113","113","113","113","225","225","225","225","225","225","225","225","225","225","225","225","225","225","271","0"
"1620","1620","49","0","3350","3350","1200","1200","400","400","100","0","0","38","0","0","0","0","38","38","38","38","38","38","38","38","38","38","55","55","55","55","55","55","55","55","55","55","113","113","113","113","113","113","113","113","113","113","225","225","225","225","225","225","225","225","225","225","225","225","225","225","271","0"
"1621","1621","50","0","3350","3350","1200","1200","400","400","100","0","0","38","0","0","0","0","38","38","38","38","38","38","38","38","38","38","55","55","55","55","55","55","55","55","55","55","113","113","113","113","113","113","113","113","113","113","225","225","225","225","225","225","225","225","225","225","225","225","225","225","271","0"
"1622","1622","51","0","3350","3350","1200","1200","400","400","100","0","0","38","0","0","0","0","38","38","38","38","38","38","38","38","38","38","55","55","55","55","55","55","55","55","55","55","113","113","113","113","113","113","113","113","113","113","225","225","225","225","225","225","225","225","225","225","225","225","225","225","271","0"
"1623","1623","52","0","3350","3350","1200","1200","400","400","100","0","0","38","0","0","0","0","38","38","38","38","38","38","38","38","38","38","55","55","55","55","55","55","55","55","55","55","113","113","113","113","113","113","113","113","113","113","225","225","225","225","225","225","225","225","225","225","225","225","225","225","271","0"
"1624","1624","53","0","3350","3350","1200","1200","400","400","100","0","0","38","0","0","0","0","38","38","38","38","38","38","38","38","38","38","55","55","55","55","55","55","55","55","55","55","113","113","113","113","113","113","113","113","113","113","225","225","225","225","225","225","225","225","225","225","225","225","225","225","271","0"
"1625","1625","119","0","3350","3350","1200","1200","400","400","100","0","0","38","0","0","0","0","38","38","38","38","38","38","38","38","38","38","55","55","55","55","55","55","55","55","55","55","113","113","113","113","113","113","113","113","113","113","225","225","225","225","225","225","225","225","225","225","225","225","225","225","271","0"
"1626","1626","120","0","3350","3350","1200","1200","400","400","100","0","0","38","0","0","0","0","38","38","38","38","38","38","38","38","38","38","55","55","55","55","55","55","55","55","55","55","113","113","113","113","113","113","113","113","113","113","225","225","225","225","225","225","225","225","225","225","225","225","225","225","271","0"
"251","251","1","800","2000","1600","1000","400","2000","2200","0","0","0","250","250","250","250","250","170","170","170","170","170","200","200","200","200","200","220","220","220","220","220","300","300","300","300","300","100","100","100","100","100","130","130","130","130","130","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","0"
"252","252","6","800","2000","1600","1000","400","2000","2200","0","0","0","60","60","60","60","60","40","40","40","40","40","50","50","50","50","50","50","50","50","50","50","70","70","70","70","70","20","20","20","20","20","30","30","30","30","30","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","0"
"253","253","28","800","2000","1600","1000","400","2000","2200","0","0","0","7","7","7","7","7","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","9","9","9","9","9","3","3","3","3","3","4","4","4","4","4","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","0"
"254","254","29","800","2000","1600","1000","400","2000","2200","0","0","0","7","7","7","7","7","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","9","9","9","9","9","3","3","3","3","3","4","4","4","4","4","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","0"
"255","255","30","800","2000","1600","1000","400","2000","2200","0","0","0","10","10","10","10","10","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","12","12","12","12","12","4","4","4","4","4","5","5","5","5","5","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0"
"256","256","31","800","2000","1600","1000","400","2000","2200","0","0","0","10","10","10","10","10","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","12","12","12","12","12","4","4","4","4","4","5","5","5","5","5","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0"
"257","257","32","800","2000","1600","1000","400","2000","2200","0","0","0","30","30","30","30","30","21","21","21","21","21","24","24","24","24","24","27","27","27","27","27","36","36","36","36","36","12","12","12","12","12","16","16","16","16","16","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"258","258","33","800","2000","1600","1000","400","2000","2200","0","0","0","30","30","30","30","30","21","21","21","21","21","24","24","24","24","24","27","27","27","27","27","36","36","36","36","36","12","12","12","12","12","16","16","16","16","16","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"259","259","34","800","2000","1600","1000","400","2000","2200","0","0","0","40","40","40","40","40","28","28","28","28","28","32","32","32","32","32","36","36","36","36","36","48","48","48","48","48","16","16","16","16","16","22","22","22","22","22","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","0"
"260","260","35","800","2000","1600","1000","400","2000","2200","0","0","0","40","40","40","40","40","28","28","28","28","28","32","32","32","32","32","36","36","36","36","36","48","48","48","48","48","16","16","16","16","16","22","22","22","22","22","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","0"
"261","261","38","800","2000","1600","1000","400","2000","2200","0","0","0","10","10","10","10","10","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","12","12","12","12","12","4","4","4","4","4","5","5","5","5","5","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0"
"262","262","39","800","2000","1600","1000","400","2000","2200","0","0","0","10","10","10","10","10","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","12","12","12","12","12","4","4","4","4","4","5","5","5","5","5","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0"
"263","263","40","800","2000","1600","1000","400","2000","2200","0","0","0","10","10","10","10","10","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","12","12","12","12","12","4","4","4","4","4","5","5","5","5","5","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0"
"264","264","41","800","2000","1600","1000","400","2000","2200","0","0","0","15","15","15","15","15","10","10","10","10","10","12","12","12","12","12","13","13","13","13","13","18","18","18","18","18","6","6","6","6","6","8","8","8","8","8","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","0"
"265","265","42","800","2000","1600","1000","400","2000","2200","0","0","0","10","10","10","10","10","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","12","12","12","12","12","4","4","4","4","4","5","5","5","5","5","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0"
"266","266","43","800","2000","1600","1000","400","2000","2200","0","0","0","15","15","15","15","15","10","10","10","10","10","12","12","12","12","12","13","13","13","13","13","18","18","18","18","18","6","6","6","6","6","8","8","8","8","8","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","0"
"267","267","44","800","2000","1600","1000","400","2000","2200","0","0","0","12","12","12","12","12","8","8","8","8","8","10","10","10","10","10","11","11","11","11","11","15","15","15","15","15","5","5","5","5","5","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","0"
"268","268","45","800","2000","1600","1000","400","2000","2200","0","0","0","12","12","12","12","12","8","8","8","8","8","10","10","10","10","10","11","11","11","11","11","15","15","15","15","15","5","5","5","5","5","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","0"
"269","269","46","800","2000","1600","1000","400","2000","2200","0","0","0","7","7","7","7","7","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","9","9","9","9","9","3","3","3","3","3","4","4","4","4","4","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","0"
"270","270","47","800","2000","1600","1000","400","2000","2200","0","0","0","7","7","7","7","7","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","9","9","9","9","9","3","3","3","3","3","4","4","4","4","4","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","0"
"351","351","1","800","2000","1600","1000","400","2000","2200","0","0","0","500","500","500","500","500","350","350","350","350","350","400","400","400","400","400","450","450","450","450","450","600","600","600","600","600","200","200","200","200","200","270","270","270","270","270","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","0"
"352","352","6","800","2000","1600","1000","400","2000","2200","0","0","0","120","120","120","120","120","80","80","80","80","80","100","100","100","100","100","110","110","110","110","110","150","150","150","150","150","50","50","50","50","50","60","60","60","60","60","120","120","120","120","120","120","120","120","120","120","120","120","120","120","120","0"
"353","353","28","800","2000","1600","1000","400","2000","2200","0","0","0","15","15","15","15","15","10","10","10","10","10","12","12","12","12","12","13","13","13","13","13","18","18","18","18","18","6","6","6","6","6","8","8","8","8","8","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","0"
"354","354","29","800","2000","1600","1000","400","2000","2200","0","0","0","15","15","15","15","15","10","10","10","10","10","12","12","12","12","12","13","13","13","13","13","18","18","18","18","18","6","6","6","6","6","8","8","8","8","8","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","0"
"355","355","30","800","2000","1600","1000","400","2000","2200","0","0","0","20","20","20","20","20","14","14","14","14","14","16","16","16","16","16","18","18","18","18","18","24","24","24","24","24","8","8","8","8","8","11","11","11","11","11","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","0"
"356","356","31","800","2000","1600","1000","400","2000","2200","0","0","0","20","20","20","20","20","14","14","14","14","14","16","16","16","16","16","18","18","18","18","18","24","24","24","24","24","8","8","8","8","8","11","11","11","11","11","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","0"
"357","357","32","800","2000","1600","1000","400","2000","2200","0","0","0","60","60","60","60","60","42","42","42","42","42","48","48","48","48","48","54","54","54","54","54","72","72","72","72","72","24","24","24","24","24","33","33","33","33","33","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","0"
"358","358","33","800","2000","1600","1000","400","2000","2200","0","0","0","60","60","60","60","60","42","42","42","42","42","48","48","48","48","48","54","54","54","54","54","72","72","72","72","72","24","24","24","24","24","33","33","33","33","33","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60","0"
"359","359","34","800","2000","1600","1000","400","2000","2200","0","0","0","80","80","80","80","80","56","56","56","56","56","64","64","64","64","64","72","72","72","72","72","96","96","96","96","96","32","32","32","32","32","44","44","44","44","44","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","0"
"360","360","35","800","2000","1600","1000","400","2000","2200","0","0","0","80","80","80","80","80","56","56","56","56","56","64","64","64","64","64","72","72","72","72","72","96","96","96","96","96","32","32","32","32","32","44","44","44","44","44","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","0"
"361","361","38","800","2000","1600","1000","400","2000","2200","0","0","0","20","20","20","20","20","14","14","14","14","14","16","16","16","16","16","18","18","18","18","18","24","24","24","24","24","8","8","8","8","8","11","11","11","11","11","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","0"
"362","362","39","800","2000","1600","1000","400","2000","2200","0","0","0","20","20","20","20","20","14","14","14","14","14","16","16","16","16","16","18","18","18","18","18","24","24","24","24","24","8","8","8","8","8","11","11","11","11","11","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","0"
"363","363","40","800","2000","1600","1000","400","2000","2200","0","0","0","20","20","20","20","20","14","14","14","14","14","16","16","16","16","16","18","18","18","18","18","24","24","24","24","24","8","8","8","8","8","11","11","11","11","11","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","0"
"364","364","41","800","2000","1600","1000","400","2000","2200","0","0","0","30","30","30","30","30","21","21","21","21","21","24","24","24","24","24","27","27","27","27","27","36","36","36","36","36","12","12","12","12","12","16","16","16","16","16","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"365","365","42","800","2000","1600","1000","400","2000","2200","0","0","0","20","20","20","20","20","14","14","14","14","14","16","16","16","16","16","18","18","18","18","18","24","24","24","24","24","8","8","8","8","8","11","11","11","11","11","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","0"
"366","366","43","800","2000","1600","1000","400","2000","2200","0","0","0","30","30","30","30","30","21","21","21","21","21","24","24","24","24","24","27","27","27","27","27","36","36","36","36","36","12","12","12","12","12","16","16","16","16","16","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
"367","367","44","800","2000","1600","1000","400","2000","2200","0","0","0","25","25","25","25","25","17","17","17","17","17","20","20","20","20","20","22","22","22","22","22","30","30","30","30","30","10","10","10","10","10","13","13","13","13","13","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","0"
"368","368","45","800","2000","1600","1000","400","2000","2200","0","0","0","25","25","25","25","25","17","17","17","17","17","20","20","20","20","20","22","22","22","22","22","30","30","30","30","30","10","10","10","10","10","13","13","13","13","13","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","0"
"369","369","46","800","2000","1600","1000","400","2000","2200","0","0","0","15","15","15","15","15","10","10","10","10","10","12","12","12","12","12","13","13","13","13","13","18","18","18","18","18","6","6","6","6","6","8","8","8","8","8","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","0"
"370","370","47","800","2000","1600","1000","400","2000","2200","0","0","0","15","15","15","15","15","10","10","10","10","10","12","12","12","12","12","13","13","13","13","13","18","18","18","18","18","6","6","6","6","6","8","8","8","8","8","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","0"
"451","451","1","800","2000","1600","1000","400","2000","2200","0","0","0","1000","1000","1000","1000","1000","700","700","700","700","700","800","800","800","800","800","900","900","900","900","900","1200","1200","1200","1200","1200","400","400","400","400","400","550","550","550","550","550","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","0"
